학번,이름,나이,전화번호,주소,국어,수학,영어,경험치
1461031,서지민1,20,01012345678,대전시 동구,80,80,90,1200
1461032,서지민2,20,01012345678,대전시 동구,80,80,90,1200
1461033,서지민3,20,01012345678,대전시 동구,80,80,90,1200
1461034,서지민4,20,01012345678,대전시 동구,80,80,90,1200
1461035,서지민5,20,01012345678,대전시 동구,80,80,90,1200
1461036,서지민6,20,01012345678,대전시 동구,80,80,90,1200
1461037,서지민7,20,01012345678,대전시 동구,80,80,90,1200
1461038,서지민8,20,01012345678,대전시 동구,80,80,90,1200
1461039,서지민9,20,01012345678,대전시 동구,80,80,90,1200
1461040,서지민10,20,01012345678,대전시 동구,80,80,90,1200
1461041,서지민11,20,01012345678,대전시 동구,80,80,90,1200
1461042,서지민12,20,01012345678,대전시 동구,80,80,90,1200
1461043,서지민13,20,01012345678,대전시 동구,80,80,90,1200
1461044,서지민14,20,01012345678,대전시 동구,80,80,90,1200
